脚本文件名称,判定结果
DZbqjth5.jsp,white
2uI5jg1A.php,white
AcumGCpe.php,white
IA1ix2zh.php,white
hPqZI8M1.jsp,white
uagHISvW.jsp,white
qr9dHuZy.jsp,white
7CKDwxuz.php,black
01NH64Ii.php,black
ezK2ZqYP.jsp,white
l8qc2xUO.jsp,white
wPrXDmUE.jsp,white
3vYbglUJ.jsp,white
1nJ7R6bW.jsp,white
YDlbO7SM.jsp,white
0SXBakvw.jsp,white
KpE4iynv.jsp,white
WApLcTxy.jsp,white
suZdLCw3.php,white
tHUPVxyf.jsp,white
97k3mVTa.jsp,white
aTFUx78S.php,white
2bmoVf4W.jsp,white
4KJ0OdPZ.php,white
i0mW6Ihg.php,white
QvJ9nb3e.jsp,white
yp6LZGYT.php,white
LB4E7Mvz.php,white
pYQdISJO.jsp,white
uzpoq5Xb.jsp,white
sJc2A5zB.jsp,white
M0kn9cDj.jsp,white
L27xih4k.jsp,white
YIbahWml.jsp,white
ZQ4yMuhg.jsp,white
7AkFeUDM.jsp,white
ek8rSOQV.jsp,white
0Lqhj6fo.jsp,white
6RBklLQo.jsp,white
0RKOsjw8.jsp,white
QhkVXZsn.jsp,white
9AwYLjQV.jsp,white
IuZU2FN7.php,white
kNTFYmOI.php,white
i201ZqbT.php,white
Yey9jtgk.php,black
GqM2fYm1.php,white
wJdoUeYl.php,white
gxZU396v.jsp,white
5igbtujk.jsp,white
CUuWX63e.php,black
DuHYVPK5.jsp,white
FQxyHRTw.jsp,white
C9qLIED4.jsp,white
UOiKHWol.jsp,white
ZWtArJHa.jsp,white
U5sD8CYx.jsp,white
XLPURwn6.jsp,white
8KYzH5qg.jsp,white
NQxZAMeG.jsp,white
qfXnH4sb.jsp,white
9z5WqX7P.jsp,white
Djnh28Vt.php,white
VFHD1GT5.php,white
pe8NVzm1.php,white
LoGBlkjY.jsp,white
4j9nXyAi.jsp,white
znfX19Zv.php,black
dzeJNVua.jsp,white
GkPy8SR2.php,white
UaltF5MX.php,white
6u4FyIaD.php,black
FC4RL3kV.jsp,white
qP0E17zV.jsp,white
brvY3TVu.php,white
bF3kGPN9.jsp,white
F4hmuJgl.php,black
vzeni5ZG.jsp,white
XfNz9Hxe.php,black
xsfBPK5h.jsp,white
WzSm95RX.jsp,white
vgIm85Oh.php,white
D0uqx9o8.jsp,white
huTfCRko.jsp,white
4WnFqx2a.php,white
zfcbFnO3.jsp,white
D5Wm4ZkA.jsp,white
dwusXa0S.php,white
QNoFkXnS.php,black
